"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 198, 'O', 467, 2.035]"
"['Ti', 198, 'O', 468, 2.197]"
"['Ti', 198, 'O', 469, 1.813]"
"['Ti', 198, 'O', 470, 1.859]"
"['Ti', 198, 'O', 543, 2.026]"
"['Ti', 199, 'O', 412, 1.861]"
"['Ti', 199, 'O', 470, 1.954]"
"['Ti', 199, 'O', 471, 2.181]"
"['Ti', 199, 'O', 472, 2.17]"
"['Ti', 199, 'O', 473, 2.196]"
"['Ti', 199, 'O', 546, 2.19]"
"['Ti', 200, 'O', 415, 1.761]"
"['Ti', 200, 'O', 473, 1.745]"
"['Ti', 200, 'O', 474, 2.15]"
"['Ti', 200, 'O', 475, 2.192]"
"['Ti', 200, 'O', 549, 1.96]"
"['Ti', 201, 'O', 476, 1.708]"
"['Ti', 201, 'O', 477, 2.169]"
"['Ti', 201, 'O', 479, 2.188]"
"['Ti', 201, 'O', 493, 1.961]"
"['Ti', 201, 'O', 552, 1.953]"
"['Ti', 202, 'O', 479, 2.102]"
"['Ti', 202, 'O', 480, 2.19]"
"['Ti', 202, 'O', 481, 1.652]"
"['Ti', 202, 'O', 482, 2.035]"
"['Ti', 202, 'O', 496, 2.189]"
"['Ti', 202, 'O', 555, 1.702]"
"['Ti', 203, 'O', 482, 1.692]"
"['Ti', 203, 'O', 483, 2.007]"
"['Ti', 203, 'O', 485, 2.199]"
"['Ti', 203, 'O', 499, 2.191]"
"['Ti', 203, 'O', 558, 1.938]"
"['Ti', 204, 'O', 485, 2.077]"
"['Ti', 204, 'O', 486, 1.692]"
"['Ti', 204, 'O', 488, 2.089]"
"['Ti', 204, 'O', 502, 2.125]"
"['Ti', 204, 'O', 561, 2.19]"
"['Ti', 205, 'O', 488, 2.195]"
"['Ti', 205, 'O', 489, 1.842]"
"['Ti', 205, 'O', 505, 2.199]"
"['Ti', 205, 'O', 564, 2.198]"
"['Ti', 206, 'O', 492, 2.184]"
"['Ti', 206, 'O', 493, 2.01]"
"['Ti', 206, 'O', 494, 2.169]"
"['Ti', 206, 'O', 508, 1.911]"
"['Ti', 206, 'O', 567, 1.9]"
"['Ti', 207, 'O', 494, 1.851]"
"['Ti', 207, 'O', 495, 2.059]"
"['Ti', 207, 'O', 496, 2.141]"
"['Ti', 207, 'O', 497, 2.074]"
"['Ti', 207, 'O', 511, 1.685]"
"['Ti', 207, 'O', 570, 1.823]"
"['Ti', 208, 'O', 497, 1.944]"
"['Ti', 208, 'O', 498, 1.913]"
"['Ti', 208, 'O', 499, 2.089]"
"['Ti', 208, 'O', 500, 1.991]"
"['Ti', 208, 'O', 514, 1.885]"
"['Ti', 208, 'O', 573, 1.908]"
"['Ti', 209, 'O', 500, 2.176]"
"['Ti', 209, 'O', 501, 2.002]"
"['Ti', 209, 'O', 502, 2.197]"
"['Ti', 209, 'O', 503, 2.133]"
"['Ti', 209, 'O', 517, 1.73]"
"['Ti', 209, 'O', 576, 1.751]"
"['Ti', 210, 'O', 491, 1.7]"
"['Ti', 210, 'O', 503, 2.197]"
"['Ti', 210, 'O', 504, 2.123]"
"['Ti', 210, 'O', 505, 2.157]"
"['Ti', 210, 'O', 520, 2.006]"
"['Ti', 210, 'O', 579, 2.09]"
"['Ti', 211, 'O', 506, 2.198]"
"['Ti', 211, 'O', 507, 2.19]"
"['Ti', 211, 'O', 508, 2.181]"
"['Ti', 211, 'O', 509, 1.859]"
"['Ti', 211, 'O', 523, 1.795]"
"['Ti', 211, 'O', 582, 1.972]"
"['Ti', 212, 'O', 509, 2.155]"
"['Ti', 212, 'O', 510, 2.113]"
"['Ti', 212, 'O', 511, 1.923]"
"['Ti', 212, 'O', 512, 1.878]"
"['Ti', 212, 'O', 526, 2.101]"
"['Ti', 212, 'O', 585, 1.9]"
"['Ti', 213, 'O', 512, 2.056]"
"['Ti', 213, 'O', 513, 2.174]"
"['Ti', 213, 'O', 514, 2.198]"
"['Ti', 213, 'O', 515, 2.022]"
"['Ti', 213, 'O', 529, 1.845]"
"['Ti', 213, 'O', 588, 1.841]"
"['Ti', 214, 'O', 515, 1.824]"
"['Ti', 214, 'O', 516, 1.993]"
"['Ti', 214, 'O', 517, 1.974]"
"['Ti', 214, 'O', 518, 2.112]"
"['Ti', 214, 'O', 532, 2.197]"
