"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Bi', 89, 'O', 356, 2.5]"
"['Bi', 89, 'O', 368, 4.803]"
"['Bi', 89, 'O', 369, 2.652]"
"['Bi', 89, 'O', 370, 4.939]"
"['Bi', 89, 'O', 371, 2.207]"
"['Bi', 89, 'O', 383, 4.71]"
"['Bi', 89, 'O', 384, 2.389]"
"['Bi', 89, 'O', 385, 2.262]"
"['Bi', 89, 'O', 400, 4.688]"
"['Bi', 89, 'O', 444, 4.408]"
"['Bi', 89, 'O', 459, 4.421]"
"['Bi', 90, 'Na', 19, 3.911]"
"['Bi', 90, 'Na', 31, 3.869]"
"['Bi', 90, 'Na', 34, 3.933]"
"['Bi', 90, 'Na', 42, 4.021]"
"['Bi', 90, 'Bi', 86, 4.286]"
"['Bi', 90, 'Bi', 90, 0.0]"
"['Bi', 90, 'Bi', 91, 3.857]"
"['Bi', 90, 'Ti', 137, 3.707]"
"['Bi', 90, 'Ti', 138, 3.772]"
"['Bi', 90, 'Ti', 142, 3.222]"
"['Bi', 90, 'Ti', 143, 3.318]"
"['Bi', 90, 'Ti', 162, 3.295]"
"['Bi', 90, 'Ti', 163, 3.618]"
"['Bi', 90, 'Ti', 167, 3.77]"
"['Bi', 90, 'Ti', 168, 2.903]"
"['Bi', 90, 'O', 284, 4.449]"
"['Bi', 90, 'O', 287, 3.112]"
"['Bi', 90, 'O', 299, 4.684]"
"['Bi', 90, 'O', 301, 2.988]"
"['Bi', 90, 'O', 302, 2.344]"
"['Bi', 90, 'O', 304, 2.485]"
"['Bi', 90, 'O', 305, 4.903]"
"['Bi', 90, 'O', 316, 4.639]"
"['Bi', 90, 'O', 319, 4.668]"
"['Bi', 90, 'O', 360, 3.198]"
"['Bi', 90, 'O', 362, 3.178]"
"['Bi', 90, 'O', 363, 3.195]"
"['Bi', 90, 'O', 364, 4.904]"
"['Bi', 90, 'O', 365, 4.539]"
"['Bi', 90, 'O', 374, 4.918]"
"['Bi', 90, 'O', 375, 2.404]"
"['Bi', 90, 'O', 376, 3.186]"
"['Bi', 90, 'O', 377, 2.444]"
"['Bi', 90, 'O', 378, 2.647]"
"['Bi', 90, 'O', 379, 2.413]"
"['Bi', 90, 'O', 380, 4.276]"
"['Bi', 90, 'O', 391, 4.909]"
"['Bi', 90, 'O', 394, 4.325]"
"['Bi', 90, 'O', 435, 4.674]"
"['Bi', 90, 'O', 453, 4.276]"
"['Bi', 91, 'Na', 32, 4.008]"
"['Bi', 91, 'Na', 35, 3.846]"
"['Bi', 91, 'Na', 43, 3.509]"
"['Bi', 91, 'Bi', 87, 3.871]"
"['Bi', 91, 'Bi', 90, 3.857]"
"['Bi', 91, 'Bi', 91, 0.0]"
"['Bi', 91, 'Ti', 138, 3.616]"
"['Bi', 91, 'Ti', 139, 3.508]"
"['Bi', 91, 'Ti', 143, 3.478]"
"['Bi', 91, 'Ti', 144, 3.773]"
"['Bi', 91, 'Ti', 163, 3.662]"
"['Bi', 91, 'Ti', 164, 3.217]"
"['Bi', 91, 'Ti', 168, 3.411]"
"['Bi', 91, 'Ti', 169, 2.902]"
